#chan	code	gain	offset	innse	comment
   0	1100	0.0	0.0	   0	low gain
   1	4100	0.6	0.6	39346	low gain
   2	4100	1.4	1.4	16791	low gain
   3	1000	72.2	72.2	 448	unbonded
   4	4100	1.0	1.0	23833	low gain
   5	4100	0.9	0.9	33517	low gain
   6	4104	0.3	0.3	66398	low gain
   7	4100	0.6	0.6	37029	low gain
   8	4100	1.0	1.0	23286	low gain
   9	4100	0.5	0.5	47308	low gain
  10	4100	0.8	0.8	29162	low gain
  11	1000	69.7	69.7	 452	unbonded
  12	4100	1.3	1.3	18839	low gain
  13	4100	0.4	0.4	61236	low gain
  14	4100	0.9	0.9	24582	low gain
  15	4100	0.9	0.9	27776	low gain
  16	4100	0.3	0.3	68781	low gain
  17	4100	1.0	1.0	24818	low gain
  18	4100	1.1	1.1	21601	low gain
  19	1000	70.2	70.2	 416	unbonded
  20	4100	1.4	1.4	17832	low gain
  21	4100	0.9	0.9	24303	low gain
  22	4100	1.0	1.0	24909	low gain
  23	4100	0.7	0.7	34573	low gain
  24	4100	1.1	1.1	22705	low gain
  25	4100	0.8	0.8	31008	low gain
  26	4100	1.0	1.0	24199	low gain
  27	1000	69.4	69.4	 436	unbonded
  28	4100	1.7	1.7	13037	low gain
  29	4100	0.9	0.9	28087	low gain
  30	4100	1.2	1.2	19868	low gain
  31	4100	1.0	1.0	24532	low gain
  32	4100	0.9	0.9	26350	low gain
  33	4100	0.4	0.4	52920	low gain
  34	4100	0.6	0.6	36255	low gain
  35	1000	69.2	69.2	 452	unbonded
  36	4100	1.4	1.4	16076	low gain
  37	4100	0.8	0.8	27584	low gain
  38	4100	1.2	1.2	18212	low gain
  39	4100	0.9	0.9	23702	low gain
  40	4100	0.9	0.9	26617	low gain
  41	4100	1.0	1.0	23468	low gain
  42	4100	1.1	1.1	20754	low gain
  43	1000	71.2	71.2	 452	unbonded
  44	4100	1.1	1.1	18922	low gain
  45	4100	1.2	1.2	18608	low gain
  46	4100	0.8	0.8	28103	low gain
  47	4100	1.1	1.1	21876	low gain
  48	4100	0.7	0.7	36809	low gain
  49	4100	1.2	1.2	18799	low gain
  50	4100	1.1	1.1	21753	low gain
  51	1000	71.5	71.5	 430	unbonded
  52	4100	1.1	1.1	20276	low gain
  53	4100	0.9	0.9	24865	low gain
  54	4100	1.0	1.0	20191	low gain
  55	4100	1.0	1.0	24166	low gain
  56	4100	0.8	0.8	32166	low gain
  57	4100	0.8	0.8	29549	low gain
  58	4100	0.7	0.7	35096	low gain
  59	1000	72.6	72.6	 446	unbonded
  60	4100	0.9	0.9	25105	low gain
  61	4100	0.9	0.9	27178	low gain
  62	4100	1.1	1.1	19135	low gain
  63	4100	1.1	1.1	20977	low gain
  64	4100	0.8	0.8	30934	low gain
  65	4100	0.6	0.6	37609	low gain
  66	4100	1.0	1.0	25589	low gain
  67	1000	69.7	69.7	 435	unbonded
  68	4100	1.0	1.0	24041	low gain
  69	4100	0.9	0.9	26675	low gain
  70	4100	1.1	1.1	21510	low gain
  71	4100	1.1	1.1	20999	low gain
  72	4100	1.2	1.2	19573	low gain
  73	4104	1.0	1.0	20346	low gain
  74	4100	1.1	1.1	20190	low gain
  75	1000	72.1	72.1	 437	unbonded
  76	4100	1.2	1.2	17425	low gain
  77	4100	1.2	1.2	20876	low gain
  78	4100	1.0	1.0	24360	low gain
  79	4100	0.3	0.3	81868	low gain
  80	4100	0.9	0.9	25412	low gain
  81	4100	0.7	0.7	37503	low gain
  82	4100	0.4	0.4	54531	low gain
